"state","county_names","county_fips","count"
"AK","Anchorage Borough","02020",1
"AR","Benton County","05007",1
"AR","Faulkner County","05045",2
"AR","Washington County","05143",3
"CA","Los Angeles County","06037",1
"CO","Arapahoe County","08005",3
"CO","El Paso County","08041",3
"CO","Weld County","08123",2
"FL","Bay County","12005",2
"FL","Brevard County","12009",193
"FL","Broward County","12011",17
"FL","Clay County","12019",404
"FL","Collier County","12021",23
"FL","Duval County","12031",200
"FL","Escambia County","12033",205
"FL","Flagler County","12035",25
"FL","Gilchrist County","12041",9
"FL","Hamilton County","12047",19
"FL","Hernando County","12053",22
"FL","Highlands County","12055",20
"FL","Hillsborough County","12057",1
"FL","Indian River County","12061",165
"FL","Jackson County","12063",14
"FL","Lake County","12069",13
"FL","Lee County","12071",30
"FL","Manatee County","12081",44
"FL","Marion County","12083",62
"FL","Martin County","12085",122
"FL","Miami-Dade County","12086",8
"FL","Okaloosa County","12091",21
"FL","Orange County","12095",13
"FL","Osceola County","12097",31
"FL","Palm Beach County","12099",26
"FL","Pinellas County","12103",2
"FL","Polk County","12105",16
"FL","Santa Rosa County","12113",24
"FL","Sarasota County","12115",5
"FL","Seminole County","12117",11
"FL","St. Johns County","12109",37
"FL","St. Lucie County","12111",24
"FL","Volusia County","12127",94
"FL","Wakulla County","12129",1
"FL","Walton County","12131",58
"FL",NA,"12NA",11
"GA","Bartow County","13015",10
"GA","Cherokee County","13057",10
"GA","Forsyth County","13117",17
"GA","Pickens County","13227",10
"IA","Carroll County","19027",3
"IA","Dallas County","19049",3
"IA","Jasper County","19099",1
"IA","Johnson County","19103",1
"IA","Lee County","19111",1
"IA","Plymouth County","19149",1
"IA","Polk County","19153",3
"IA","Poweshiek County","19157",1
"IA","Wapello County","19179",1
"IA","Woodbury County","19193",1
"ID","Ada County","16001",27
"ID","Bingham County","16011",1
"ID","Bonneville County","16019",1
"ID","Canyon County","16027",50
"IL","Henry County","17073",1
"IL","Knox County","17095",1
"IL","Lake County","17097",3
"IL","Winnebago County","17201",1
"IN","Elkhart County","18039",8
"IN","Hamilton County","18057",10
"IN","Howard County","18067",3
"KS","Johnson County","20091",7
"KS","Miami County","20121",7
"KS","Sedgwick County","20173",30
"KY","Campbell County","21037",3
"MA","Plymouth County","25023",1
"MD","Wicomico County","24045",1
"ME","Androscoggin County","23001",2
"ME","Cumberland County","23005",8
"ME","Franklin County","23007",2
"ME","Hancock County","23009",2
"ME","Oxford County","23017",2
"ME","Washington County","23029",2
"ME","York County","23031",8
"MI","Allegan County","26005",2
"MI","Berrien County","26021",1
"MI","Cheboygan County","26031",1
"MI","Clare County","26035",34
"MI","Delta County","26041",1
"MI","Genesee County","26049",8
"MI","Gladwin County","26051",34
"MI","Ionia County","26067",1
"MI","Kalamazoo County","26077",2
"MI","Kent County","26081",1
"MI","Lapeer County","26087",8
"MI","Macomb County","26099",20
"MI","Monroe County","26115",1
"MI","Montcalm County","26117",1
"MI","Oakland County","26125",6
"MI","Ottawa County","26139",3
"MI","Washtenaw County","26161",1
"MI","Wayne County","26163",7
"MN","Benton County","27009",1
"MN","Hennepin County","27053",1
"MN","Stearns County","27145",1
"MO","Barry County","29009",1
"MO","Christian County","29043",24
"MO","Clay County","29047",9
"MO","Franklin County","29071",1
"MO","Greene County","29077",27
"MO","Jackson County","29095",15
"MO","Jefferson County","29099",30
"MO","Lawrence County","29109",1
"MO","Platte County","29165",9
"MO","St. Charles County","29183",226
"MO","St. Louis County","29189",76
"MO","Stone County","29209",24
"MS","Madison County","28089",22
"NC","Alamance County","37001",1
"NC","Catawba County","37035",4
"NC","Cumberland County","37051",9
"NC","Haywood County","37087",1
"NC","Iredell County","37097",2
"NC","Mecklenburg County","37119",2
"NC","Moore County","37125",2
"NC","Pender County","37141",41
"NC","Pitt County","37147",5
"NC","Wilkes County","37193",7
"ND","McKenzie County","38053",27
"ND","Williams County","38105",27
"NE","Cass County","31025",6
"NH","Hillsborough County","33011",1
"NJ","Burlington County","34005",1
"NJ","Cape May County","34009",1
"NJ","Gloucester County","34015",1
"NJ","Morris County","34027",2
"NJ","Somerset County","34035",1
"NJ","Sussex County","34037",1
"NJ","Union County","34039",1
"NJ","Warren County","34041",1
"NY","Dutchess County","36027",1
"NY","Orange County","36071",3
"NY","Putnam County","36079",5
"NY","Suffolk County","36103",1
"NY","Ulster County","36111",2
"NY","Westchester County","36119",10
"OH","Summit County","39153",4
"OK","Creek County","40037",39
"OK","Logan County","40083",5
"OK","Oklahoma County","40109",5
"OK","Osage County","40113",2
"OK","Tulsa County","40143",3
"OK","Wagoner County","40145",3
"OR","Clackamas County","41005",1
"OR","Jackson County","41029",1
"OR","Washington County","41067",1
"OR",NA,"41NA",37
"PA","Berks County","42011",2
"PA","Bucks County","42017",8
"PA","Chester County","42029",3
"PA","Crawford County","42039",151
"PA","Erie County","42049",1
"PA","Lancaster County","42071",2
"PA","Monroe County","42089",29
"PA","Montgomery County","42091",6
"PA","Pike County","42103",2
"PA","Snyder County","42109",1
"PA","Venango County","42121",151
"PA","Westmoreland County","42129",1
"PA","York County","42133",443
"RI","Providence County","44007",1
"SC","Anderson County","45007",1
"SC","Beaufort County","45013",99
"SC","Horry County","45051",21
"SC","Lexington County","45063",3
"SC","Pickens County","45077",3
"SC","Richland County","45079",2
"SC","Saluda County","45081",1
"SC","York County","45091",1
"SD","Brookings County","46011",2
"SD","Lake County","46079",2
"SD","Meade County","46093",5
"SD","Moody County","46101",2
"SD","Pennington County","46103",5
"TN","Blount County","47009",2
"TN","Hamilton County","47065",14
"TN","Houston County","47083",2
"TN","McMinn County","47107",1
"TN","Robertson County","47147",1
"TN","Shelby County","47157",327
"TN","Sumner County","47165",1
"TN","Williamson County","47187",1
"TN","Wilson County","47189",11
"TX","Bell County","48027",11
"TX","Bexar County","48029",435
"TX","Blanco County","48031",42
"TX","Bowie County","48037",58
"TX","Cherokee County","48073",1
"TX","Collin County","48085",398
"TX","Coryell County","48099",4
"TX","Dallas County","48113",2
"TX","Denton County","48121",399
"TX","El Paso County","48141",1
"TX","Fort Bend County","48157",55
"TX","Galveston County","48167",7
"TX","Gillespie County","48171",42
"TX","Harris County","48201",116
"TX","Hood County","48221",133
"TX","Johnson County","48251",133
"TX","Kendall County","48259",42
"TX","Montgomery County","48339",81
"TX","Parker County","48367",133
"TX","Smith County","48423",2
"TX","Somervell County","48425",133
"TX","Tarrant County","48439",113
"TX","Travis County","48453",26
"TX","Waller County","48473",48
"TX","Williamson County","48491",11
"UT","Davis County","49011",48
"UT","Salt Lake County","49035",109
"UT","Summit County","49043",1
"UT","Utah County","49049",56
"UT","Wasatch County","49051",11
"UT","Washington County","49053",66
"UT","Weber County","49057",2
"VA","Fairfax County","51059",2
"VA","Hanover County","51085",19
"VA","Harrisonburg city","51660",1
"VA","Henrico County","51087",2
"VA","Loudoun County","51107",3
"VA","Madison County","51113",20
"VA","New Kent County","51127",1
"VA","Patrick County","51141",1
"VA","Roanoke County","51161",1
"VA","Spotsylvania County","51177",35
"VA","Virginia Beach city","51810",8
"VA","Williamsburg city","51830",1
"VT",NA,"50NA",1
"WA","King County","53033",3
"WA","Kitsap County","53035",1
"WA","Walla Walla County","53071",1
"WI","Chippewa County","55017",4
"WI","Dodge County","55027",1
"WI","Eau Claire County","55035",1
"WI","Jefferson County","55055",1
"WI","Manitowoc County","55071",3
"WI","Outagamie County","55087",2
"WI","Racine County","55101",1
"WI","Sheboygan County","55117",3
"WI","St. Croix County","55109",33
"WI","Trempealeau County","55121",1
"WI","Waukesha County","55133",29
"WI","Waupaca County","55135",2
"WI","Winnebago County","55139",2
"WV","Wood County","54107",2
"WY","Natrona County","56025",5
"WY","Park County","56029",10
